order_id,order_date,warehouse_id,destination_city,distance_km,carrier,estimated_delivery_days,weight_kg,delivered,freight_cost,actual_delivery_days,delay_days
1,2024-01-01 00:00:00,WH_Kazan,SPb,331.3,Russian Post,3,1.53,True,3055.91,3.0,0.0
2,2024-01-01 01:00:00,WH_Moscow,SPb,147.5,Russian Post,3,1.58,True,1366.44,3.0,0.0
3,2024-01-01 02:00:00,WH_Kazan,Ekaterinburg,88.4,PickPoint,1,4.05,True,1242.02,1.0,0.0
4,2024-01-01 03:00:00,WH_Kazan,Moscow,152.8,CDEK,5,6.2,True,3713.04,5.0,0.0
5,2024-01-01 04:00:00,WH_Moscow,SPb,494.6,Russian Post,1,0.21,True,4039.89,1.0,0.0
6,2024-01-01 05:00:00,WH_Moscow,Ekaterinburg,1018.7,Boxberry,4,0.94,True,13373.49,4.0,0.0
7,2024-01-01 06:00:00,WH_Kazan,SPb,303.1,Russian Post,1,0.89,True,2640.61,1.0,0.0
8,2024-01-01 07:00:00,WH_SPb,Kazan,457.1,PickPoint,1,13.83,True,10892.69,2.0,1.0
9,2024-01-01 08:00:00,WH_Kazan,SPb,228.3,Russian Post,1,2.05,True,2200.81,1.0,0.0
10,2024-01-01 09:00:00,WH_Kazan,SPb,294.1,Boxberry,1,5.3,True,5399.68,1.0,0.0
11,2024-01-01 10:00:00,WH_Kazan,Novosibirsk,1329.0,CDEK,5,1.39,True,22705.96,5.0,0.0
12,2024-01-01 11:00:00,WH_Kazan,Kazan,173.1,PickPoint,5,3.21,True,2286.65,5.0,0.0
13,2024-01-01 12:00:00,WH_Moscow,Moscow,20.6,CDEK,5,0.84,True,334.96,5.0,0.0
14,2024-01-01 13:00:00,WH_Kazan,SPb,944.0,PickPoint,4,6.07,True,15170.08,4.0,0.0
15,2024-01-01 14:00:00,WH_SPb,Moscow,472.6,Boxberry,4,1.52,True,6533.22,4.0,0.0
16,2024-01-01 15:00:00,WH_Moscow,Kazan,152.4,PickPoint,1,4.07,True,2144.27,1.0,0.0
17,2024-01-01 16:00:00,WH_SPb,SPb,1211.9,CDEK,5,0.74,True,19523.71,5.0,0.0
18,2024-01-01 17:00:00,WH_SPb,Novosibirsk,127.2,CDEK,4,2.96,True,2472.77,4.0,0.0
19,2024-01-01 18:00:00,WH_SPb,Ekaterinburg,139.6,Russian Post,3,1.3,False,1261.98,,
20,2024-01-01 19:00:00,WH_SPb,Novosibirsk,282.3,CDEK,1,0.08,True,4268.38,2.0,1.0
21,2024-01-01 20:00:00,WH_Moscow,Novosibirsk,96.2,Russian Post,2,1.33,True,871.96,2.0,0.0
22,2024-01-01 21:00:00,WH_Moscow,Ekaterinburg,359.8,CDEK,5,2.0,True,6476.4,5.0,0.0
23,2024-01-01 22:00:00,WH_SPb,Ekaterinburg,49.8,Russian Post,1,0.41,True,414.73,1.0,0.0
24,2024-01-01 23:00:00,WH_SPb,Ekaterinburg,34.3,Boxberry,1,0.51,True,432.59,1.0,0.0
25,2024-01-02 00:00:00,WH_Moscow,SPb,229.6,Russian Post,2,1.56,True,2123.34,3.0,1.0
26,2024-01-02 01:00:00,WH_Moscow,Moscow,243.2,CDEK,3,1.05,False,4031.04,,
27,2024-01-02 02:00:00,WH_Moscow,Moscow,33.8,Boxberry,4,1.45,True,464.41,4.0,0.0
28,2024-01-02 03:00:00,WH_Kazan,Ekaterinburg,998.7,PickPoint,4,1.54,True,11525.0,4.0,0.0
29,2024-01-02 04:00:00,WH_Kazan,Novosibirsk,255.5,CDEK,2,0.38,True,3978.14,3.0,1.0
30,2024-01-02 05:00:00,WH_Kazan,Kazan,49.1,Russian Post,2,0.5,True,412.44,2.0,0.0
31,2024-01-02 06:00:00,WH_SPb,Ekaterinburg,111.9,PickPoint,4,4.71,True,1646.05,4.0,0.0
32,2024-01-02 07:00:00,WH_Kazan,Novosibirsk,483.2,Russian Post,3,0.44,True,4035.69,6.0,3.0
33,2024-01-02 08:00:00,WH_SPb,Novosibirsk,222.2,PickPoint,3,2.74,True,2830.83,3.0,0.0
34,2024-01-02 09:00:00,WH_SPb,SPb,62.5,Boxberry,1,1.36,True,852.0,1.0,0.0
35,2024-01-02 10:00:00,WH_Kazan,SPb,32.6,CDEK,2,8.62,True,910.52,3.0,1.0
36,2024-01-02 11:00:00,WH_SPb,Moscow,169.0,Boxberry,2,0.17,True,2062.48,2.0,0.0
37,2024-01-02 12:00:00,WH_Kazan,Moscow,123.5,CDEK,2,4.44,True,2675.01,3.0,1.0
38,2024-01-02 13:00:00,WH_Kazan,Kazan,320.1,PickPoint,4,1.69,True,3741.97,4.0,0.0
39,2024-01-02 14:00:00,WH_Moscow,Kazan,778.1,Boxberry,4,0.01,True,9346.54,5.0,1.0
40,2024-01-02 15:00:00,WH_Kazan,Kazan,85.4,CDEK,4,0.77,True,1379.64,4.0,0.0
41,2024-01-02 16:00:00,WH_Moscow,Kazan,579.8,PickPoint,3,1.31,True,6557.54,3.0,0.0
42,2024-01-02 17:00:00,WH_Kazan,Novosibirsk,759.5,Boxberry,4,0.94,True,9970.72,4.0,0.0
43,2024-01-02 18:00:00,WH_Kazan,Novosibirsk,696.8,Boxberry,1,1.13,True,9306.46,1.0,0.0
44,2024-01-02 19:00:00,WH_Moscow,Moscow,911.4,Boxberry,4,6.21,True,17728.55,4.0,0.0
45,2024-01-02 20:00:00,WH_Moscow,SPb,553.8,Boxberry,3,1.12,True,7389.91,3.0,0.0
46,2024-01-02 21:00:00,WH_Kazan,SPb,270.0,Russian Post,2,1.36,False,2453.76,,
47,2024-01-02 22:00:00,WH_SPb,Ekaterinburg,158.2,PickPoint,1,3.58,True,2148.36,2.0,1.0
48,2024-01-02 23:00:00,WH_Moscow,Novosibirsk,203.0,Russian Post,3,3.95,True,2265.48,3.0,0.0
49,2024-01-03 00:00:00,WH_SPb,Kazan,618.2,PickPoint,5,0.22,True,6318.0,7.0,2.0
50,2024-01-03 01:00:00,WH_SPb,Kazan,107.6,PickPoint,2,3.04,True,1403.1,3.0,1.0
51,2024-01-03 02:00:00,WH_SPb,Ekaterinburg,52.0,PickPoint,4,1.65,False,605.8,,
52,2024-01-03 03:00:00,WH_Moscow,SPb,45.5,CDEK,3,0.36,True,707.07,3.0,0.0
53,2024-01-03 04:00:00,WH_SPb,Kazan,526.3,PickPoint,5,0.77,True,5668.25,6.0,1.0
54,2024-01-03 05:00:00,WH_Moscow,SPb,430.0,Boxberry,3,0.12,True,5221.92,3.0,0.0
55,2024-01-03 06:00:00,WH_SPb,Ekaterinburg,206.5,Russian Post,4,1.12,True,1837.02,4.0,0.0
56,2024-01-03 07:00:00,WH_Kazan,SPb,96.4,Boxberry,3,0.74,True,1242.4,3.0,0.0
57,2024-01-03 08:00:00,WH_Kazan,SPb,339.6,Boxberry,5,1.2,True,4564.22,5.0,0.0
58,2024-01-03 09:00:00,WH_Moscow,SPb,11.8,Russian Post,3,2.17,True,114.88,5.0,2.0
59,2024-01-03 10:00:00,WH_Kazan,Kazan,252.0,Boxberry,1,3.3,True,4021.92,1.0,0.0
60,2024-01-03 11:00:00,WH_Kazan,Moscow,152.5,CDEK,1,2.32,True,2818.2,1.0,0.0
61,2024-01-03 12:00:00,WH_SPb,Novosibirsk,1143.1,Boxberry,4,2.84,True,17612.88,4.0,0.0
62,2024-01-03 13:00:00,WH_Moscow,SPb,212.5,Boxberry,5,5.02,True,3830.1,5.0,0.0
63,2024-01-03 14:00:00,WH_SPb,SPb,241.1,Russian Post,5,5.18,True,2927.92,5.0,0.0
64,2024-01-03 15:00:00,WH_SPb,SPb,373.8,Boxberry,5,4.93,True,6697.0,5.0,0.0
65,2024-01-03 16:00:00,WH_SPb,Moscow,198.8,Russian Post,5,0.42,True,1657.2,5.0,0.0
66,2024-01-03 17:00:00,WH_SPb,Ekaterinburg,76.3,PickPoint,5,0.72,True,817.94,5.0,0.0
67,2024-01-03 18:00:00,WH_SPb,Kazan,231.2,PickPoint,2,1.74,True,2714.29,2.0,0.0
68,2024-01-03 19:00:00,WH_SPb,Moscow,866.2,CDEK,3,1.11,True,14435.22,3.0,0.0
69,2024-01-03 20:00:00,WH_SPb,SPb,158.2,Russian Post,5,0.35,True,1309.9,5.0,0.0
70,2024-01-03 21:00:00,WH_Moscow,Moscow,341.5,Russian Post,1,0.85,True,2964.22,2.0,1.0
71,2024-01-03 22:00:00,WH_Kazan,Moscow,1145.5,Russian Post,3,9.27,False,17659.03,,
72,2024-01-03 23:00:00,WH_SPb,Moscow,531.4,CDEK,4,1.07,True,8823.9,4.0,0.0
73,2024-01-04 00:00:00,WH_SPb,Ekaterinburg,322.8,CDEK,4,1.36,True,5500.51,4.0,0.0
74,2024-01-04 01:00:00,WH_SPb,Novosibirsk,399.5,Boxberry,5,0.02,True,4803.59,5.0,0.0
75,2024-01-04 02:00:00,WH_SPb,Kazan,826.9,Russian Post,2,3.18,True,8718.83,2.0,0.0
76,2024-01-04 03:00:00,WH_SPb,Ekaterinburg,963.8,CDEK,2,1.33,True,16379.78,4.0,2.0
77,2024-01-04 04:00:00,WH_SPb,Ekaterinburg,1041.8,PickPoint,3,0.27,True,10699.29,4.0,1.0
78,2024-01-04 05:00:00,WH_Kazan,Novosibirsk,294.8,PickPoint,2,8.65,True,5498.02,2.0,0.0
79,2024-01-04 06:00:00,WH_Kazan,Ekaterinburg,145.7,Russian Post,4,3.76,True,1603.87,4.0,0.0
80,2024-01-04 07:00:00,WH_SPb,Moscow,42.9,PickPoint,5,3.24,True,568.0,5.0,0.0
81,2024-01-04 08:00:00,WH_Kazan,Moscow,146.1,Boxberry,1,7.92,True,3141.73,1.0,0.0
82,2024-01-04 09:00:00,WH_Moscow,SPb,859.2,Boxberry,4,1.31,False,11661.06,,
83,2024-01-04 10:00:00,WH_SPb,Ekaterinburg,661.6,Russian Post,4,3.17,False,6970.62,,
84,2024-01-04 11:00:00,WH_Moscow,SPb,222.5,CDEK,3,0.58,True,3531.08,3.0,0.0
85,2024-01-04 12:00:00,WH_Moscow,Kazan,231.0,CDEK,2,2.99,True,4501.04,2.0,0.0
86,2024-01-04 13:00:00,WH_SPb,Moscow,110.9,CDEK,1,0.04,True,1670.15,3.0,2.0
